Nama Tempat,Lokasi,Kategori,Rating,Jumlah Review,Harga Tiket,Pengikut IG,Fasilitas,Review
Pantai Tanjung Tuha,Lampung Selatan,Alam,4.3,176,5000,0,area parkir. tempat duduk santai. spot memancing. serta pemandangan matahari terbit dan terbenam di tepi laut,Pantai yang indah dengan suasana tenang dan alami. Pemandangannya cantik. cocok untuk bersantai. menikmati angin laut. dan foto-foto. Area pantai cukup bersih dan nyaman untuk liburan bersama keluarga maupun teman. Sangat direkomendasikan untuk melepas penat
Pantai Batu Kapal,Lampung Selatan,Alam,4.1,49,15000,0,gazebo. toilet/kamar bilas. mushola. warung makan. area parkir. spot foto,Pantainya masih alami udaranya masih seger banyak pepohonan pokoknya asyik buat kita yang suka Jarambah
Pantai Batu Payung,Lampung Selatan,Alam,4.2,1366,10000,0,area parkir. toilet/kamar bilas. mushola. warung makan. spot foto. penyewaan perahu/snorkeling. serta beberapa area wisata alam di sekitar pantai,"Pantainya bersih dan semakin indah karena terdapat tempat berteduh di dekat pantai yang dapat dijadikan sebagai spot foto. serta dilengkapi banyak ayunan yang menarik. Tersedia pula berbagai permainan untuk anak-anak. kolam renang. dan musala."
Pantai Bagus Kalianda,Lampung Selatan,Alam,4.0,705,25000,31000,gazebo. mushola. toilet/kamar bilas. area parkir luas. spot foto. suasana pantai bersih dengan pasir putih. serta view Gunung Rajabasa,"Pantai ini sangat indah dan menjadi salah satu destinasi wisata dengan kondisi yang bersih serta banyak spot foto yang dapat diabadikan di tempat ini."
Pantai Ketapang,Pesawaran,Alam,4.5,1546,30000,129,toilet & kamar bilas. mushola. warung makan. gazebo/pondok. area parkir luas. spot foto. camping,Pantai ketapang Bahari. tempat wisata di Lampung yang bagus. Pantainya cocok untuk anak-anak karena berhadapat dengan pulau. sehingga ombak tidak besar.
Pantai Teluk Nipah,Lampung Selatan,Alam,4.4,77,0,306,area pantai. beberapa pedagang lokal. dan spot foto alami dengan tebing serta laut terbuka,Kawasan dan potensi pantai yang sangat luar biasa indah .alami.dan sangat siap secara geograpi di kelola menjadi distinasi pariwisata mancanegara
Pantai Merak Belantung,Lampung Selatan,Alam,4.2,125,35000,3226,gazebo. warung makan. toilet/kamar bilas. area parkir. penginapan/resort di sekitar pantai. banana boat. jetski. spot foto,"Pantai tersembunyi yang masih bersih ini memungkinkan pengunjung menikmati pemandangan teluk di wilayah Kalianda. Kawasan ini juga merupakan area pembibitan udang. sehingga pengunjung dapat melihat banyak bagan di sekitarnya.
"
Desa Wisata Kunjir,Lampung Selatan,Alam,4.4,619,10000,288,pantai pasir putih. snorkeling. perahu wisata (Pulau Mengkudu & Batu Lapis). homestay. warung makan. toilet/kamar bilas. gazebo. spot foto. dan paket wisata lengkap berbasis desa,Pemandangannya pantainya cantik. ada gubuk / saung dipesisir pantainya. bisa melihat dengan jelas hamparan laut dari pinggir jalan.
Pantai Way Muli,Lampung Selatan,Alam,4.8,4,5000,160,arung makan sederhana. area parkir. akses pantai berpasir. pemandangan Gunung Rajabasa dan Selat Sunda,"Pantai Way Muli adalah pantai sederhana yang masih alami dengan suasana tenang. pasir pantai yang bersih. serta pemandangan indah Gunung Rajabasa dan Selat Sunda. cocok untuk bersantai dan menikmati sunset tanpa keramaian."
Pantai Banding Resort,Lampung Selatan,Alam,4.2,509,15000,206,pantai pasir putih. area parkir luas. gazebo. WiFi. spot sunset,Salah satu pantai yang wajib dikunjungi adalah Pantai Banding Resort . Pantai ini terkenal dengan pasir yang halus. air laut yang jernih. serta  suasana  sunset dan sunrise yang indah dan menawan.
Pantai Rajabasa,Lampung Selatan,Alam,4.8,11,10000,0,area parkir. warung makan kecil. spot duduk santai,"Pantai Rajabasa adalah kawasan pantai alami di kaki Gunung Rajabasa dengan suasana tenang. pemandangan laut Selat Sunda yang indah. dan suasana masih sederhana. cocok untuk wisata santai jauh dari keramaian."
Pulau Rimau Balak,Lampung Selatan,Alam,4.8,9,10000,0,area parkir. warung kecil. tempat duduk santai. akses pantai berkarang/pasir. dan pemandangan laut lepas Selat Sunda,"Pantai Rimau Balak menawarkan suasana pantai yang masih alami dan tenang dengan pemandangan laut lepas Selat Sunda. cocok untuk bersantai. menikmati sunset. dan melepas penat jauh dari keramaian."
Pulau Balak,Pesawaran,Alam,4.0,14,10000,105,akses perahu dari daratan. area pantai berpasir/karang. spot snorkeling alami. tempat istirahat seadanya. dan pemandangan laut Selat Sunda,"Pulau Rimau Balak adalah pulau kecil yang masih alami dan sepi dengan air laut jernih serta suasana tenang. cocok untuk snorkeling ringan. bersantai. dan menikmati keindahan laut Selat Sunda jauh dari keramaian.
"
Pulau Kelagian Lunik,Pesawaran,Alam,4.7,1019,10000,1858,pantai pasir putih. air laut jernih. spot snorkeling. gazebo sederhana. area camping. warung kecil di waktu tertentu. dan akses perahu dari dermaga Pulau Pahawang,Sebuah pulau kecil dengan pantai yang indah. Sangat cocok untuk menjadi spot fotografi. Terdapat penjual kelapa muda waktu kesana.
Pulau Pahawang Kecil,Pesawaran,Alam,4.6,90,20000,219,spot snorkeling (terumbu karang & ikan warna-warni). dermaga. area pantai pasir putih. homestay (di sekitar Pulau Pahawang Besar). sewa alat snorkeling. perahu wisata. serta spot foto bawah laut dan pasir timbul,"Salah satu tempat wisata di Lampung yang sedang populer dan tren adalah Pulau Pahawang. Di sini. pengunjung dapat melakukan snorkeling dan melihat ikan nemo. Tempat ini cocok dikunjungi pada akhir pekan. dengan kondisi ombak yang relatif kecil sehingga aman bagi pengunjung.
"
Pantai Batu Menyan,Pesawaran,Alam,4.2,37,10000,0,area parkir. warung makan sederhana. spot duduk santai,Cocok banget buat orang-orang yang gak suka sama pantai terlalu rame. pantainya bagus walaupun pasirnya enggak putih dan banyak batu-batuan
Pantai Sari Ringgung 2,Pesawaran,Alam,4.2,7669,30000,0,pasir putih. air laut jernih. spot foto. gazebo. warung makan. toilet/kamar bilas. area parkir. sewa perahu. akses ke Masjid Apung & pasir timbul,"Pantai ini indah dan bersih. serta terdapat lamun di sekitarnya. Penyewaan kapal mudah dilakukan. dan para penjual bersikap ramah. Harga topi dan kacamata juga terjangkau. Selain itu. tersedia restoran dan pondok untuk menunjang kenyamanan pengunjung."
Pantai Mutun 2,Pesawaran,Alam,4.3,106,25000,0,gazebo. warung makan. toilet/kamar bilas. area parkir. penyewaan perahu/banana boat. spot foto,Pantai nya bersih. luas. banyak wahana bermain untuk anak². di tepi pantai banyak pohon ² yang menambah kesejukan dan tak lupa juga banyak pedagang makanan maupun souvenir.
Pantai Klara 2,Pesawaran,Alam,4.5,946,50000,0,gazebo. warung makan. toilet/kamar bilas. area parkir. spot foto. penyewaan perahu. banana boat,Pantai yang cocok untuk tamasya bersama keluarga. bermalam di pantai pun tidak perlu khawatir. Terlalu banyak karang nya. bebatuan nya dimana mana. Belum tepat untuk reservasi.
Bukit Panjerejo,Pringsewu,Alam,4.1,146,10000,0,gardu pandang. spot foto. area parkir. warung sederhana. jalur jalan bukit/trekking ringan. dan pemandangan hamparan perbukitan serta persawahan Pringsewu,"Bukit Panjerejo merupakan destinasi wisata baru di wilayah Pringsewu. Perjalanan menuju lokasi ini tidak terlalu jauh dari pusat kota Pringsewu. namun akses untuk naik ke bukit cukup menantang dan memerlukan tenaga ekstra."
Taman PKOR Way Halim,Bandar Lampung,Buatan,4.2,63,0,1285,area olahraga (jogging track. lapangan futsal. basket). taman terbuka. arena skate. panggung hiburan. area UMKM/PKL. tempat duduk. parkir luas. dan ruang publik untuk acara/event,"Tempat ini cocok untuk hiburan bersama teman. keluarga. maupun pasangan. Tersedia berbagai wahana permainan serta penyewaan alat. seperti sepeda motor dan mobil mini. sepeda listrik. kegiatan mewarnai. memancing. dan masih banyak lagi.
"
Taman Kalpataru,Bandar Lampung,Buatan,4.2,50,0,0,area taman hijau. jogging track. taman bermain anak. spot foto,"Ruang bermain ini ramah anak dan cocok sebagai tempat bermain bagi anak-anak. serta dapat digunakan secara gratis. Namun. fasilitas seperti toilet kurang terawat. kemungkinan disebabkan oleh keterbatasan ketersediaan air bersih."
Kolam Renang Pahoman,Bandar Lampung,Buatan,4.3,557,10000,1139,Toilet bersih. ruang ganti/bilas. musala. kantin. gazebo. dan tribun penonton.,Lokasi Strategis: Terletak di pusat kota Bandar Lampung. memudahkan akses bagi warga sekitar maupun atlet.
Waterpark Citra Garden,Bandar Lampung,Buatan,4.5,3369,15000,5731,Taman bermain anak (ayunan. perosotan). area panjat tebing alami. jembatan gantung. dan lapangan rumput luas untuk gathering.,sangat menyukai suasana yang asri. udara sejuk. dan air sungai yang bersih. Harga tiket dinilai sangat murah karena sudah termasuk biaya parkir dan pondokan.
Pulau Condong Laut,Lampung Selatan,Alam,4.3,2145,20000,0,Warung Makan: Tersedia warung yang menjual makanan ringan. mie instan. dan kelapa muda.Fasilitas Dasar: Kamar mandi sederhana/ruang bilas dan tempat berteduh atau gazebo.Aktivitas: Area snorkeling (terumbu karang masih cukup alami). diving. sewa kano. dan spot foto di celah-celah karang yang estetik,Pengunjung menyukai kejernihan air lautnya yang biru dan pasir putihnya yang sangat lembut. Sisi utara pulau memiliki ombak yang tenang. sangat cocok untuk anak-anak bermain air
Air Terjun Sinar Tiga,Pesawaran,Alam,4.7,3369,10000,0,Warung: Terdapat warung kecil milik warga (seperti Warung Bu Bar) yang menjual makanan dan minuman hangat di dekat lokasi air terjun.Pondokan: Tersedia gazebo atau pondok sederhana untuk beristirahat.Lainnya: Toilet/ruang bilas dasar. tempat sampah. dan area parkir,Pengunjung sangat memuji udara yang segar. air yang dingin. dan suasana yang masih sangat alami. Lokasi ini dianggap sebagai tempat healing yang bagus karena jauh dari kebisingan kota.
Air Terjun Talang Rabun,Pesawaran,Alam,4.7,73,15000,0,Fasilitas & Kondisi AlamKeunikan: Air terjun ini memiliki air yang sangat jernih dan deras. dikelilingi hutan hijau yang asri. Terdapat beberapa spot menarik lainnya di sekitar area ini seperti Wisata Batu Tegak dan Tebing Lengkung.Aksesibilitas: Pengunjung harus menaiki sekitar 187 anak tangga setelah memarkirkan kendaraan. Jalur menuju ke sini sangat ekstrem dengan bebatuan dan tanjakan curam. sehingga kendaraan harus dalam kondisi prima, menyatakan bahwa lelahnya perjalanan terbayar lunas oleh keindahan dan kejernihan air terjunnya yang luar bias
Air Terjun Tapusan,Tanggamus,Alam,4.5,35,15000,0,"Area parkir
Spot foto alam
Tempat istirahat sederhana
Jalur trekking menuju air terjun
Warung kecil saat hari libur tertentu
","Air terjun masih alami dan asri
Cocok untuk healing dan fotografi
Air jernih dan suasana sejuk
Pemandangan bagus untuk konten Instagr"
Taman Umbul Kapuk,Tulang Bawang Barat,Alam,4.2,417,25000,0,"Gazebo di atas kolam
Area parkir luas
Mushola
Toilet umum
Spot foto Instagramable
Kolam ikan
Bebek air
Taman kelinci
Penangkaran burung
Warung makan/kafe
Wifi gratis
","Tempat sejuk dan asri
Cocok untuk wisata keluarga
Banyak spot foto menarik
Harga tiket murah
Banyak pepohonan rindang
"
Pantai Muara Indah Suak,Lampung Selatan,Alam,4.1,253,20000,0,"Area parkir
Mushola
Toilet dan kamar mandi
Gazebo/tempat santai
Playground anak
Spot foto
Cottage/penginapan sederhana
Penyewaan ban renang
Warung makan dan kuliner
Area pasir putih dan kolam alami batu karang","Pantai bersih dan cocok untuk keluarga
Ombak relatif tenang dan aman untuk anak-anak
Banyak pohon rindang sehingga terasa sejuk
Pasir putih dan pemandangan bagus
Cocok untuk healing dan santai bersama keluarga
"
Pantai Terbaya,Tanggamus,Alam,4.0,321,20000,0,"Area parkir
Pondokan/gazebo sederhana
Kamar mandi & tempat bilas
Warung makan dan jajanan
Tempat duduk santai
Area berenang
Spot sunset dan foto
Penyewaan pondok di pinggir pantai
","Suasana pantai yang masih alami
Pemandangan Teluk Semaka yang indah
Ombak cukup aman untuk bermain di tepi pantai
Tempat cocok untuk healing dan menikmati sunset
Banyak pohon kelapa dan udara sejuk"
Pantai Badak Limau,Tanggamus,Alam,4.2,109,5000,0,"Area parkir
Toilet umum
Tempat ibadah
Warung makanan/minuman
Jalur evakuasi
Spot foto alam
Area santai keluarga
Paket wisata sederhana
","Pantai masih alami dan asri
Air laut cukup jernih
Cocok untuk foto-foto dan healing
Penduduk sekitar ramah
Banyak pohon dan suasana tenang
"
Air Terjun Batu Susun,Lampung Barat,Alam,4.8,22,0,0,"Area parkir motor
Mushola sederhana
Kamar mandi/toilet
Jalur trekking alam
Spot foto alami
Tempat istirahat seadanya","Air sangat jernih dan dingin
Suasana masih alami dan sepi
Cocok untuk healing dan fotografi
Warga sekitar ramah
Pemandangan sawah dan hutan masih asri"
Air Terjun Semantung,Lampung Barat,Alam,4.7,41,10000,0,"Jalur trekking alam
Spot foto alami
Tempat istirahat sederhana
Warung kecil milik warga
Area camping untuk beberapa pengunjung","Air terjun masih sangat alami dan asri
Air jernih serta udara sejuk
Cocok untuk healing dan fotografi alam
Suasana tenang karena belum terlalu ramai wisatawan
Pemandangan hutan dan bebatuan sangat indah"
Bukit Kabut Bawang Bakung,Lampung Barat,Alam,4.7,58,10000,0,"Gazebo/tempat duduk
Spot foto instagramable
Jalur trekking ringan
Warung kecil milik warga
Area camping sederhana","Pemandangan bukit dan batu besar yang unik
Cocok untuk menikmati sunrise dan sunset
Udara sejuk dan suasana tenang
Banyak spot foto alami
Cocok untuk camping dan healing"
Way Besai Rafting,Lampung Barat,Alam,4.6,87,185000,981,"Area parkir luas
Toilet umum
Mushola/tempat ibadah
Restoran dan warung makan
Camping ground
Pemandu rafting profesional
Peralatan rafting lengkap
Dokumentasi foto
Paket makan siang
Tempat informasi wisata","Arus sungai seru tetapi masih aman untuk pemula
Pemandangan sungai. hutan. dan kebun kopi sangat indah
Guide ramah dan profesional
Cocok untuk wisata keluarga maupun rombongan
Durasi rafting cukup panjang dan menantang"
Taman Cerry Glompong,Lampung Tengah,Buatan,4.5,434,20000,0,"Spot foto instagramable
Area taman dan tempat duduk
Kafe dan tempat nongkrong
Area bermain anak
Toilet umum
Area parkir
Lampu hias malam hari
Gazebo/tempat santa","Banyak spot foto menarik dan estetik
Cocok untuk nongkrong bersama keluarga atau teman
Suasana malam cukup bagus dengan lampu hias
Tempat nyaman untuk santai dan foto-foto
Harga tiket relatif murah"
Kolam Renang Tirto Asri,Lampung Tengah,Buatan,4.1,70,2000,0,"Kolam anak dan dewasa
Area bermain air
Gazebo/tempat duduk
Toilet dan kamar bilas
Area parkir
Warung makanan dan minuman
Tempat santai keluarga","Tempat cocok untuk rekreasi keluarga
Harga tiket cukup terjangkau
Kolam cukup nyaman untuk anak-anak
Suasana santai dan tidak terlalu ramai"
Jati Agro,Lampung Selatan,Buatan,4.6,455,15000,5945,"Kolam renang anak
Kebun sayur dan tanaman edukasi
Gazebo/pondokan
Aula pertemuan
Mushola
Area persawahan
Spot foto alam
Area bermain anak
Kantin dan warung makan
Area parkir luas
","Tempat asri dan sejuk
Cocok untuk wisata keluarga dan anak-anak
Konsep edukasi pertanian menarik
Tiket murah dan terjangkau
Banyak spot santai dan foto
Cocok untuk healing dan outing class
"
Taman Tirta Asri,Lampung Tengah,Buatan,4.3,276,15000,0,"Kolam renang anak dan dewasa
Area bermain air
Gazebo/tempat duduk
Spot foto
Mushola
Toilet dan kamar bilas
Area parkir
Warung makan dan jajanan
Area taman keluarga
","Tempat nyaman untuk keluarga
Kolam cukup bersih
Harga tiket terjangkau
Suasana ramai dan cocok untuk anak-anak
Banyak area santai untuk piknik keluarga"
Bukit Punggur,Way Kanan,Alam,4.6,44,15000,0,"Area parkir
Toilet umum
Mushola/tempat ibadah
Tempat camping
Spot sunrise dan sunset
Jalur pendakian
Pusat informasi wisata
Warung makanan/minuman sederhana","Pemandangan alam dan lautan kabut yang indah
Cocok untuk camping dan hiking
Sunrise serta sunset sangat bagus
Udara sejuk dan suasana masih alami
Panorama perbukitan hijau sangat memanjakan mata
"
Pantai Cemara Indah,Lampung Timur,Alam,4.4,403,10000,0,"Saung dan pondokan gratis
Mushola
Toilet dan kamar bilas
Area parkir
Warung makanan dan minuman
Ayunan pantai
Tempat duduk santai
Area camping
Spot sunset dan sunrise","Pantai bersih dan nyaman untuk keluarga
Banyak pohon cemara sehingga terasa sejuk
Sunset dan sunrise bagus
Tiket murah dan pondokan gratis
Cocok untuk santai. berenang. dan camping"
Pantai Kerang Mas,Lampung Timur,Alam,4.1,1502,10000,599,"Gazebo dan saung gratis
Area parkir luas
Mushola
Toilet dan kamar bilas
Warung makan dan kuliner seafood
Penyewaan ban karet
Penyewaan perahu
Banana boat
ATV
Area camping
Spot sunrise dan foto instagramable","Pasir putih dan laut biru yang indah
Ombak relatif tenang dan cocok untuk keluarga
Banyak pohon rindang sehingga terasa sejuk
Gazebo gratis dan area santai nyaman
Sunrise sangat bagus untuk foto dan healing"
Danau Way Jepara,Lampung Timur,Alam,4.4,119,5000,0,"Area parkir
Mushola
Toilet umum
Tempat duduk santai
Spot foto alam
Area memancing
Warung makanan/minuman sederhana
Area piknik keluarga","Suasana danau yang sejuk dan asri
Banyak pohon besar di sekitar danau
Cocok untuk healing. santai. dan memancing
Air danau terlihat jernih dengan pemandangan alami
Tempat nyaman untuk wisata keluarga
"
Taman Maskot,Lampung Timur,Buatan,3.8,116,0,0,"Gazebo/tempat duduk
Area taman santai
Ikon dan patung maskot Lampung Timur
Area istirahat pengguna jalan
Spot foto sederhana
Area parkir kecil
","Lokasi strategis di pintu masuk Lampung Timur
Cocok untuk tempat singgah dan istirahat
Area cukup luas dan rindang
Pernah menjadi ikon kebanggaan daerah"
Taman Ki Hajar Dewantara,Lampung Timur,Buatan,4.2,312,0,0,"Area taman hijau
Tempat duduk dan gazebo
Area berkumpul komunitas
Spot foto
Area bermain/skate sederhana
Area UMKM dan pedagang kecil
Tempat santai pelajar dan mahasiswa
","Tempat cukup luas untuk nongkrong dan berkumpul
Cocok untuk kegiatan komunitas dan pelajar
Lokasi strategis dekat kawasan pendidikan
Suasana rindang untuk santai sore hari"
